-584 , -135
-590 , -165
-570 , -202
-552 , -263
-552 , -263
-525 , -320
-503 , -387
-438 , -434
-387 , -470
-318 , -525
-291 , -558
-269 , -598
-316 , -578
-330 , -594
-312 , -592
-273 , -643
-251 , -625
-340 , -643
-436 , -660
-458 , -674
-539 , -674
-592 , -668
-625 , -651
-672 , -662
-570 , -627
-619 , -615
-686 , -621
-759 , -655
-806 , -686
-865 , -700
-920 , -727
-902 , -688
-869 , -645
-865 , -562
-867 , -487
-885 , -417
-897 , -365
-843 , -389
-814 , -442
-779 , -515
-759 , -529
-737 , -535
-698 , -501
-657 , -476
-617 , -456
-592 , -428
-580 , -399
-588 , -361
-588 , -289
-588 , -241
